id,clonesize,honeybee,bumbles,andrena,osmia,MaxOfUpperTRange,AverageOfUpperTRange,RainingDays,fruitset,fruitmass,seeds,yield
35,25,0.5,0.25,0.38,0.75,69.7,58.2,34,0.476054066,0.415971082,35.8744954,5750.88107
36,12.5,0.25,0.25,0.38,0.38,77.4,64.7,24,0.489635345,0.440241496,35.88512085,5531.35174
37,12.5,0.25,0.25,0.63,0.75,77.4,64.7,34,0.593029845,0.491901278,41.3159122,7570.48492
38,25,0.5,0.25,0.5,0.5,86,71.9,34,0.470593127,0.432754792,34.30696962,5377.27086
39,25,0.5,0.25,0.63,0.75,86,71.9,24,0.384633032,0.399723843,30.54630597,4056.83427
40,25,0.5,0.25,0.63,0.75,69.7,58.2,34,0.404446048,0.395435754,31.78225878,4228.81888
41,25,0.5,0.25,0.38,0.5,77.4,64.7,34,0.403310637,0.405525072,31.44841986,4576.10071
42,25,0.5,0.25,0.75,0.63,86,71.9,24,0.463537294,0.433668483,33.221987,5246.52146
43,25,0.5,0.38,0.38,0.75,69.7,58.2,16,0.506793789,0.430368732,35.64822051,6249.47082
44,25,0.5,0.38,0.5,0.75,77.4,64.7,34,0.384610827,0.399556226,30.79835142,3901.98955
45,12.5,0.25,0.25,0.63,0.75,86,71.9,16,0.573428227,0.488568502,40.55501923,6992.82314
46,25,0.5,0.38,0.5,0.75,94.6,79,1,0.548124898,0.476928353,38.17659701,7555.17159
47,12.5,0.25,0.38,0.38,0.5,94.6,79,34,0.389452628,0.394971427,29.77562706,4068.35066
48,12.5,0.25,0.25,0.5,0.75,94.6,79,1,0.595948108,0.494895461,41.17642111,7558.00588
49,25,0.25,0.25,0.25,0.38,94.6,79,24,0.283055065,0.352186419,29.25354428,2625.26916
50,25,0.5,0.25,0.25,0.63,69.7,58.2,1,0.561962455,0.471665153,40.35118636,7101.75783
51,12.5,0.25,0.25,0.63,0.75,69.7,58.2,1,0.559215109,0.455169517,38.45252155,6898.39095
52,12.5,0.25,0.25,0.63,0.63,86,71.9,24,0.496019026,0.445134287,35.59821657,5932.23909
53,12.5,0.25,0.25,0.38,0.75,86,71.9,16,0.538371386,0.473660277,39.64669117,6779.98166
54,25,0.5,0.38,0.38,0.75,86,71.9,16,0.568853507,0.488112101,40.86547798,7085.06308
55,12.5,0.25,0.25,0.75,0.75,69.7,58.2,16,0.532303678,0.419215723,36.94898618,6986.80996
56,12.5,0.25,0.25,0.38,0.63,94.6,79,1,0.617868887,0.527895672,43.2784975,8655.67644
57,25,0.5,0.38,0.63,0.5,86,71.9,16,0.566319234,0.458254721,39.7419306,6543.97182
58,12.5,0.25,0.25,0.38,0.5,94.6,79,24,0.474009658,0.437317312,33.12546719,5636.30874
59,12.5,0.25,0.38,0.5,0.5,86,71.9,1,0.54613583,0.47767525,39.81661146,6942.3963
60,12.5,0.25,0.25,0.38,0.63,77.4,64.7,1,0.551234401,0.472979714,38.57716666,6770.23332
61,25,0.5,0.25,0.63,0.75,69.7,58.2,24,0.46274257,0.404575636,32.46088718,6394.07791
62,12.5,0.25,0.25,0.75,0.75,94.6,79,1,0.57467888,0.481173502,40.65549833,7284.81478
63,12.5,0.25,0.25,0.5,0.63,77.4,64.7,34,0.521950271,0.462760521,37.69400303,6465.37205
64,37.5,0.25,0.25,0.25,0.25,77.4,64.7,34,0.372318474,0.367762987,29.55801912,3720.71159
65,12.5,0.25,0.25,0.38,0.75,77.4,64.7,16,0.582482579,0.48651762,37.78237359,7130.83001
66,12.5,0.25,0.38,0.38,0.63,94.6,79,1,0.527308548,0.460369104,37.80745277,6328.89332
67,25,0.5,0.38,0.38,0.5,86,71.9,24,0.563746659,0.483702858,39.58916872,7024.74836
68,12.5,0.25,0.38,0.38,0.5,86,71.9,1,0.612209289,0.503991707,42.40950749,7835.76779
69,25,0.5,0.25,0.75,0.75,69.7,58.2,1,0.490965919,0.422051395,35.62231346,5946.05226
70,20,0.537,0.117,0.409,0.058,94.6,79,3.77,0.391964935,0.409907136,30.13586876,3911.42225
71,25,0.5,0.25,0.38,0.75,94.6,79,24,0.590337413,0.497916665,41.72079694,8823.69011
72,12.5,0.25,0.38,0.5,0.5,69.7,58.2,24,0.53255682,0.41009134,36.31114278,6801.32393
73,25,0.5,0.38,0.5,0.5,77.4,64.7,24,0.440365017,0.423927032,33.23244939,5124.8549
74,25,0.5,0.25,0.63,0.5,94.6,79,34,0.509158377,0.446570029,36.36293728,6795.88187
75,12.5,0.25,0.25,0.75,0.63,94.6,79,24,0.442626748,0.413380913,24.32062733,4867.94772
76,12.5,0.25,0.25,0.25,0.38,86,71.9,1,0.480386371,0.440375173,34.77772061,5504.75083
77,12.5,0.25,0.25,0.25,0.38,69.7,58.2,34,0.451103585,0.409976946,31.67018669,5063.85109
78,25,0.5,0.25,0.63,0.63,86,71.9,16,0.506346175,0.45981941,36.83081961,5830.48855
79,12.5,0.25,0.25,0.5,0.5,69.7,58.2,1,0.527399614,0.440675594,36.99403039,7897.9319
80,25,0.5,0.25,0.38,0.63,77.4,64.7,24,0.46424992,0.433195442,33.12546719,5154.97591
81,12.5,0.25,0.25,0.38,0.75,86,71.9,34,0.323727288,0.373856466,28.28286806,3471.19214
82,25,0.5,0.38,0.63,0.63,86,71.9,24,0.334593591,0.377566465,28.80786754,3182.69865
83,12.5,0.25,0.38,0.38,0.63,86,71.9,16,0.56581933,0.460180133,36.81018683,6842.76056
84,25,0.5,0.25,0.63,0.75,86,71.9,24,0.561296524,0.471871207,39.18675925,7502.24389
85,12.5,0.25,0.25,0.38,0.63,69.7,58.2,1,0.477961423,0.411271911,34.64257354,5964.79111
86,25,0.5,0.25,0.5,0.5,86,71.9,24,0.458530485,0.425220363,33.3532206,5126.99318
87,25,0.5,0.38,0.5,0.5,69.7,58.2,24,0.402052391,0.409269062,32.31099546,4278.76321
88,25,0.5,0.25,0.38,0.75,86,71.9,16,0.496618271,0.443962193,35.72496616,6645.56998
89,25,0.5,0.38,0.5,0.75,86,71.9,1,0.566719686,0.47767525,39.18675925,6564.9583
90,12.5,0.25,0.38,0.5,0.75,94.6,79,1,0.595052932,0.491414051,41.66192928,7541.6674
91,12.5,0.25,0.25,0.5,0.63,86,71.9,16,0.464365879,0.428903862,33.87425241,5192.88315
92,12.5,0.25,0.25,0.25,0.25,69.7,58.2,16,0.323727288,0.377915162,27.10639138,3784.11935
93,12.5,0.25,0.25,0.38,0.38,86,71.9,1,0.56383312,0.485752533,40.89130977,7101.75783
94,25,0.5,0.38,0.63,0.5,69.7,58.2,16,0.611725787,0.388821721,29.80324762,8007.20621
95,25,0.5,0.25,0.38,0.75,86,71.9,16,0.498729997,0.442952601,35.75622341,5538.91301
96,25,0.5,0.25,0.38,0.63,69.7,58.2,34,0.407564155,0.413096652,31.10161493,4898.83586
97,12.5,0.25,0.25,0.38,0.25,94.6,79,16,0.594206083,0.492641907,41.94865711,8711.20896
98,25,0.5,0.25,0.63,0.5,86,71.9,1,0.453234697,0.401236607,32.31099546,4808.60902
99,25,0.5,0.25,0.75,0.63,86,71.9,16,0.524635459,0.468896154,38.143078,6520.8976
100,25,0.5,0.25,0.63,0.63,86,71.9,24,0.509782413,0.455453173,36.97636061,6263.80788
101,25,0.5,0.25,0.63,0.75,94.6,79,34,0.401537849,0.399556226,31.02327724,4387.74185
102,25,0.5,0.25,0.63,0.75,86,71.9,34,0.401490054,0.399530934,30.54294428,4203.02762
103,12.5,0.25,0.25,0.25,0.25,77.4,64.7,1,0.410652063,0.388819023,28.49966552,3866.79896
104,12.5,0.25,0.25,0.38,0.38,77.4,64.7,1,0.596551315,0.488527456,40.16166766,7903.51351
105,25,0.5,0.25,0.38,0.63,94.6,79,1,0.464368945,0.406869398,32.74377319,5296.61109
106,12.5,0.25,0.25,0.38,0.63,94.6,79,1,0.598645112,0.494588902,41.93725753,7434.34904
107,25,0.5,0.25,0.63,0.63,94.6,79,24,0.435969213,0.419720202,32.34445707,4710.85865
108,25,0.5,0.25,0.38,0.63,69.7,58.2,34,0.38895631,0.376880162,29.97539813,4281.52619
109,25,0.25,0.25,0.25,0.38,69.7,58.2,1,0.350136522,0.381078645,29.37060684,2688.02883
110,12.5,0.25,0.25,0.5,0.63,86,71.9,16,0.53513718,0.44549439,37.96058614,6528.79888
111,12.5,0.25,0.25,0.5,0.63,86,71.9,16,0.565085745,0.471249919,38.6254357,6575.59267
112,25,0.5,0.25,0.63,0.63,77.4,64.7,24,0.489083314,0.433737787,34.66515546,5807.00693
113,12.5,0.25,0.25,0.38,0.5,77.4,64.7,24,0.547283352,0.462462315,37.78237359,6315.23321
114,25,0.5,0.25,0.5,0.63,94.6,79,34,0.425493214,0.438612787,32.88840203,5126.99318
115,25,0.5,0.38,0.63,0.5,69.7,58.2,24,0.414631675,0.395893563,31.11988062,4489.22384
116,25,0.5,0.38,0.38,0.63,69.7,58.2,16,0.566645314,0.437265704,36.36293728,7998.35059
117,12.5,0.25,0.25,0.75,0.75,69.7,58.2,24,0.594836828,0.495006371,41.35738644,7536.09687
118,12.5,0.25,0.25,0.5,0.5,69.7,58.2,24,0.49368953,0.444096914,35.89130977,5911.49359
119,12.5,0.25,0.25,0.5,0.75,94.6,79,16,0.58249065,0.48881217,40.55501923,6960.10751
120,25,0.5,0.25,0.63,0.63,86,71.9,24,0.434666745,0.438630573,31.86729396,4898.83586
121,25,0.5,0.25,0.63,0.5,69.7,58.2,1,0.533883971,0.440675594,36.31114278,6480.80815
122,12.5,0.25,0.25,0.38,0.75,77.4,64.7,24,0.583378727,0.485912698,40.46221144,7230.1325
123,25,0.5,0.38,0.38,0.63,94.6,79,1,0.567975637,0.495898084,41.54582317,7570.48492
124,25,0.5,0.25,0.63,0.5,86,71.9,1,0.483872542,0.44549439,35.62231346,5732.24032
125,12.5,0.25,0.38,0.5,0.5,94.6,79,1,0.594206083,0.493257523,41.36494454,7236.09025
126,12.5,0.25,0.38,0.38,0.63,77.4,64.7,1,0.589622441,0.484791782,40.55501923,7861.46538
127,12.5,0.25,0.25,0.5,0.75,86,71.9,16,0.600435148,0.498475898,41.54582537,7560.20565
128,25,0.5,0.38,0.38,0.75,77.4,64.7,34,0.486814739,0.445071322,35.55891105,5534.80494
129,25,0.5,0.38,0.63,0.5,94.6,79,24,0.383581787,0.393418576,30.79835142,3948.98691
130,37.5,0.75,0.25,0.25,0.25,94.6,79,16,0.473458531,0.423927032,33.23244939,5033.68556
131,12.5,0.25,0.25,0.63,0.63,94.6,79,34,0.59248944,0.493257523,41.17620131,7765.25632
132,25,0.5,0.25,0.63,0.75,69.7,58.2,1,0.529163709,0.441301913,37.78237359,6735.24371
133,25,0.5,0.25,0.25,0.5,69.7,58.2,1,0.480386371,0.413380913,34.02922281,5360.87391
134,25,0.5,0.38,0.5,0.63,77.4,64.7,16,0.478000734,0.41951938,34.23938598,5192.88315
135,25,0.5,0.25,0.63,0.63,86,71.9,1,0.573428227,0.48335599,40.17143065,7428.83442
136,12.5,0.25,0.25,0.63,0.75,69.7,58.2,1,0.546003143,0.457845739,41.6216451,7369.68559
137,12.5,0.25,0.38,0.5,0.5,77.4,64.7,1,0.545094508,0.477438541,38.86811018,6948.2288
138,12.5,0.25,0.25,0.75,0.5,94.6,79,1,0.603524723,0.50404651,42.93452098,7103.50894
139,12.5,0.25,0.25,0.5,0.75,69.7,58.2,24,0.520637077,0.437265704,36.50571347,7007.66825
140,25,0.5,0.38,0.38,0.63,86,71.9,24,0.561296524,0.476588872,39.44864975,6870.34212
141,25,0.5,0.25,0.5,0.75,86,71.9,24,0.48180056,0.445308404,35.48354994,5636.30874
142,12.5,0.25,0.25,0.25,0.25,86,71.9,34,0.55483299,0.471650366,38.69800786,6540.10545
143,12.5,0.25,0.38,0.5,0.63,86,71.9,16,0.583378727,0.498475898,41.25028935,7175.06898
144,12.5,0.25,0.25,0.25,0.25,69.7,58.2,1,0.563746659,0.476588872,39.13991586,7428.83442
145,12.5,0.25,0.38,0.38,0.5,77.4,64.7,16,0.509560238,0.426746554,36.68258785,6994.24801
146,25,0.5,0.25,0.75,0.63,77.4,64.7,34,0.467905283,0.431946288,34.78799327,5192.88315
147,12.5,0.25,0.25,0.75,0.63,77.4,64.7,34,0.560709036,0.475965002,38.0603745,7243.22611
148,12.5,0.25,0.25,0.63,0.63,69.7,58.2,16,0.520180895,0.414830175,43.93700206,8489.69192
149,25,0.5,0.25,0.5,0.5,94.6,79,1,0.550864261,0.471249919,38.57716666,6554.97686
150,12.5,0.25,0.25,0.75,0.75,69.7,58.2,24,0.570329618,0.456450549,36.83081961,8671.71681
151,25,0.5,0.25,0.38,0.75,94.6,79,34,0.384610827,0.391441876,30.27497178,4056.83427
152,12.5,0.25,0.25,0.38,0.63,94.6,79,1,0.547743879,0.470373306,39.33251373,6801.32393
153,12.5,0.25,0.25,0.75,0.63,77.4,64.7,16,0.561962455,0.479607332,39.33251373,7103.50894
154,12.5,0.25,0.25,0.25,0.38,69.7,58.2,16,0.509989204,0.455614374,36.16604354,6115.94707
155,25,0.5,0.25,0.5,0.63,77.4,64.7,24,0.480072982,0.445308404,34.5252582,5596.22636
156,25,0.5,0.38,0.5,0.63,86,71.9,34,0.403310637,0.401091418,29.94364365,4232.76231
157,12.5,0.25,0.25,0.38,0.75,77.4,64.7,1,0.566319234,0.464066853,39.23411184,7457.50606
158,12.5,0.25,0.25,0.38,0.75,77.4,64.7,24,0.398976956,0.402182926,31.92881551,4062.73953
159,12.5,0.25,0.38,0.5,0.75,94.6,79,16,0.600086778,0.493257523,41.36318078,7024.74836
160,12.5,0.25,0.25,0.5,0.63,77.4,64.7,16,0.603524723,0.500647106,42.48753914,7713.4796
161,25,0.5,0.25,0.5,0.5,69.7,58.2,1,0.52950023,0.446575791,36.84586824,6480.80815
162,25,0.5,0.25,0.38,0.5,86,71.9,34,0.354086468,0.388167887,29.80324762,2384.72892
163,25,0.5,0.38,0.38,0.75,69.7,58.2,34,0.527724447,0.434349356,36.61704886,6836.60081
164,12.5,0.25,0.25,0.38,0.75,77.4,64.7,24,0.534251703,0.468896154,38.19630554,6595.90158
165,25,0.5,0.25,0.38,0.5,86,71.9,16,0.532303678,0.464892019,37.03329756,6887.46649
166,12.5,0.25,0.25,0.38,0.75,94.6,79,1,0.584016198,0.483702858,40.41794736,7483.73632
167,12.5,0.25,0.25,0.75,0.5,94.6,79,1,0.627442488,0.513260507,43.62396561,8109.2305
168,12.5,0.25,0.25,0.5,0.75,86,71.9,34,0.555210358,0.471161461,38.1617313,6731.61844
169,25,0.25,0.25,0.25,0.25,69.7,58.2,24,0.320417393,0.373748945,27.91944764,3049.39771
170,37.5,0.75,0.25,0.25,0.25,77.4,64.7,16,0.496618271,0.448608762,35.98855463,5462.13394
171,12.5,0.25,0.25,0.25,0.25,94.6,79,24,0.33163021,0.377011619,28.80786754,3139.43255
172,12.5,0.25,0.38,0.38,0.75,77.4,64.7,24,0.482854142,0.44252903,35.04354998,5535.05665
173,12.5,0.25,0.25,0.5,0.75,77.4,64.7,1,0.600086778,0.498055536,40.03764422,7064.16978
174,25,0.5,0.25,0.63,0.63,86,71.9,16,0.546003143,0.475965002,37.25789282,6941.82413
175,25,0.5,0.25,0.63,0.75,86,71.9,16,0.583378727,0.48335599,40.86547798,7198.42285
176,12.5,0.25,0.25,0.38,0.38,86,71.9,16,0.429000524,0.4228466,33.4416065,5199.79211
177,25,0.5,0.25,0.75,0.75,86,71.9,34,0.420206355,0.435764199,32.69048728,4684.89321
178,12.5,0.25,0.25,0.38,0.5,77.4,64.7,1,0.463097152,0.438095887,34.30007912,5124.8549
179,25,0.5,0.25,0.5,0.5,77.4,64.7,1,0.500437501,0.444658692,35.43484314,6033.77856
180,12.5,0.25,0.25,0.75,0.75,69.7,58.2,24,0.483671436,0.424874062,33.95797729,5330.63134
181,12.5,0.25,0.25,0.75,0.63,94.6,79,16,0.547743879,0.476588872,39.85898134,6747.59779
182,12.5,0.25,0.38,0.5,0.63,77.4,64.7,1,0.584016198,0.495898084,41.66192928,7127.16457
183,12.5,0.25,0.25,0.38,0.5,77.4,64.7,24,0.49368953,0.44252903,35.28592597,5675.72149
184,25,0.5,0.25,0.38,0.5,86,71.9,24,0.493757519,0.441974474,35.6972028,5791.45673
185,25,0.5,0.38,0.5,0.75,69.7,58.2,16,0.518776342,0.433195442,36.46620322,6707.59259
186,25,0.5,0.25,0.63,0.75,94.6,79,16,0.583378727,0.487075422,40.92210139,7897.9319
187,12.5,0.25,0.25,0.25,0.5,86,71.9,1,0.605758307,0.500029301,41.19101338,7660.88604
188,12.5,0.25,0.25,0.63,0.63,69.7,58.2,16,0.545094508,0.462697311,39.46947609,7161.9619
189,25,0.5,0.25,0.63,0.63,86,71.9,24,0.379906235,0.394606103,30.057704,3396.72989
190,25,0.5,0.25,0.75,0.63,69.7,58.2,34,0.337022711,0.376874346,28.28409524,3436.49354
191,25,0.5,0.38,0.38,0.5,77.4,64.7,1,0.570329618,0.460322355,37.45346655,6702.78038
192,25,0.5,0.38,0.38,0.75,86,71.9,1,0.566319234,0.477438541,39.81661146,6795.88187
193,12.5,0.25,0.25,0.5,0.5,86,71.9,16,0.478469338,0.414830175,32.69048728,5402.48408
194,12.5,0.25,0.25,0.25,0.25,77.4,64.7,34,0.48180056,0.445308404,35.18441169,5531.35174
195,25,0.5,0.25,0.38,0.63,77.4,64.7,24,0.392540298,0.397661192,30.79374092,3911.42225
196,12.5,0.25,0.25,0.5,0.75,94.6,79,1,0.559324725,0.474776543,38.6454264,7483.73632
197,25,0.5,0.25,0.5,0.75,69.7,58.2,1,0.502398084,0.420400914,33.60574758,5867.99722
198,12.5,0.25,0.38,0.38,0.63,69.7,58.2,16,0.531583632,0.471871207,38.65527495,6569.24967
199,25,0.5,0.25,0.5,0.63,94.6,79,34,0.566076664,0.471161461,39.41382075,7028.6735
200,25,0.5,0.25,0.38,0.5,86,71.9,24,0.335529768,0.320727305,28.79344014,3494.94296
201,25,0.5,0.25,0.5,0.5,77.4,64.7,34,0.446141264,0.423013398,35.20741312,5004.15434
202,25,0.5,0.25,0.63,0.63,69.7,58.2,34,0.466109593,0.403129918,33.4416065,5605.221
203,25,0.25,0.25,0.5,0.75,86,71.9,1,0.630637776,0.508336663,43.68715255,8086.38881
204,12.5,0.25,0.25,0.75,0.63,69.7,58.2,16,0.55195445,0.459420676,38.94515185,6540.10545
205,12.5,0.25,0.25,0.25,0.25,94.6,79,1,0.507541905,0.453507667,35.51371293,6747.59779
206,25,0.25,0.25,0.25,0.38,94.6,79,1,0.449875425,0.424902006,33.3039002,4936.10558
207,25,0.5,0.38,0.5,0.5,86,71.9,1,0.611462998,0.511834352,43.17615175,8605.19995
208,12.5,0.25,0.38,0.38,0.75,69.7,58.2,1,0.527591617,0.463058596,39.98873363,7103.50894
209,12.5,0.25,0.25,0.38,0.5,77.4,64.7,16,0.583378727,0.483047479,40.86547798,7804.62795
210,25,0.5,0.38,0.5,0.75,77.4,64.7,1,0.496019026,0.448256199,35.89837298,5946.05226
211,25,0.5,0.25,0.63,0.5,77.4,64.7,24,0.464365879,0.433195442,33.4416065,5492.81699
212,25,0.5,0.25,0.63,0.5,86,71.9,16,0.476054066,0.436865942,33.4416065,5428.10602
213,12.5,0.25,0.25,0.63,0.63,94.6,79,24,0.551775489,0.477181542,38.64034468,6852.97971
214,12.5,0.25,0.38,0.5,0.75,86,71.9,1,0.620391949,0.511834352,43.33471751,8254.05731
215,12.5,0.25,0.25,0.25,0.38,86,71.9,24,0.394441163,0.402226397,31.66559817,4051.55129
216,12.5,0.25,0.25,0.5,0.63,77.4,64.7,24,0.476054066,0.428903862,33.29902167,4952.01304
217,12.5,0.25,0.25,0.63,0.5,77.4,64.7,16,0.560709036,0.475184735,39.47518677,7136.98445
218,25,0.5,0.25,0.63,0.63,94.6,79,24,0.325920891,0.377596581,27.3454535,3496.35236
219,25,0.5,0.25,0.63,0.63,69.7,58.2,1,0.468921469,0.438026493,34.70241183,5336.97473
220,25,0.5,0.38,0.5,0.75,86,71.9,34,0.451103585,0.403128905,32.40278346,5086.60991
221,25,0.5,0.25,0.5,0.75,86,71.9,1,0.547283352,0.462760521,37.70659201,6673.304
222,37.5,0.25,0.25,0.25,0.25,86,71.9,34,0.350136522,0.381184884,26.10117938,2625.26916
223,37.5,0.25,0.25,0.25,0.25,69.7,58.2,34,0.384981338,0.392302807,31.59741611,4042.84264
224,25,0.5,0.25,0.63,0.75,69.7,58.2,34,0.384610827,0.39604355,29.55801912,3900.34404
225,12.5,0.25,0.38,0.5,0.75,77.4,64.7,16,0.559215109,0.474776543,38.6454264,6575.59267
226,25,0.5,0.38,0.38,0.75,86,71.9,24,0.407564155,0.394606103,31.60733169,4254.82514
227,25,0.25,0.25,0.38,0.25,69.7,58.2,24,0.481472551,0.416280584,34.5252582,5739.92493
228,25,0.5,0.38,0.5,0.5,86,71.9,1,0.47973321,0.435203234,34.15934595,5538.91301
229,12.5,0.25,0.25,0.5,0.63,69.7,58.2,34,0.467812388,0.405558182,32.68039834,5347.51393
230,25,0.5,0.25,0.5,0.63,69.7,58.2,34,0.320564713,0.37863215,27.91944764,3276.36206
231,25,0.5,0.38,0.5,0.63,94.6,79,1,0.600340952,0.496358614,41.48453443,7004.01554
232,25,0.25,0.25,0.25,0.25,77.4,64.7,24,0.269735345,0.355875536,27.3454535,2379.90521
233,25,0.5,0.25,0.5,0.75,94.6,79,24,0.493757519,0.444703745,35.64822051,5711.85174
234,12.5,0.25,0.25,0.5,0.75,86,71.9,24,0.439423956,0.437059543,34.30007912,4710.85865
235,25,0.5,0.38,0.5,0.63,94.6,79,16,0.488485703,0.445071322,35.92331365,5837.21503
236,25,0.25,0.25,0.25,0.38,69.7,58.2,34,0.401490054,0.403204844,31.10924166,4177.0152
237,25,0.5,0.25,0.75,0.75,77.4,64.7,24,0.429210588,0.423988312,33.23980604,4920.13663
238,25,0.5,0.25,0.5,0.63,94.6,79,24,0.429580755,0.403128905,31.66559817,4568.67217
239,12.5,0.25,0.25,0.5,0.63,86,71.9,16,0.518626455,0.460322355,37.78237359,6475.89456
240,25,0.5,0.25,0.5,0.5,86,71.9,16,0.483249032,0.444703745,35.88512085,5739.92493
241,12.5,0.25,0.25,0.5,0.5,94.6,79,34,0.44371199,0.41985155,33.97729329,4945.79443
242,12.5,0.25,0.25,0.25,0.25,94.6,79,24,0.467905283,0.432440021,34.5252582,5596.22636
243,25,0.5,0.25,0.63,0.63,69.7,58.2,24,0.46274257,0.430368732,35.14089874,5462.13394
244,12.5,0.25,0.25,0.63,0.63,69.7,58.2,1,0.505120461,0.425220363,36.31114278,6071.2289
245,12.5,0.25,0.25,0.25,0.25,94.6,79,24,0.335529768,0.379871916,28.13589892,3471.19214
246,25,0.5,0.38,0.63,0.5,69.7,58.2,34,0.363981224,0.382996774,30.057704,3680.56025
247,25,0.5,0.25,0.75,0.5,69.7,58.2,16,0.48638367,0.419215723,33.16394425,6422.92209
248,12.5,0.25,0.38,0.5,0.75,69.7,58.2,1,0.543968929,0.437317312,36.04067528,6731.71221
249,12.5,0.25,0.25,0.38,0.5,94.6,79,24,0.567958657,0.479866804,39.12726257,6717.44627
250,25,0.5,0.38,0.5,0.63,94.6,79,1,0.506346175,0.453940904,36.34050331,6306.55062
251,12.5,0.25,0.25,0.5,0.5,86,71.9,24,0.384981338,0.401506621,30.28237595,3901.98955
252,12.5,0.25,0.25,0.38,0.5,69.7,58.2,24,0.476807761,0.413625114,33.4416065,5746.77703
253,25,0.25,0.38,0.38,0.75,69.7,58.2,24,0.395387929,0.393781726,31.93547883,4584.45355
254,12.5,0.25,0.25,0.63,0.63,86,71.9,16,0.587319779,0.486816771,40.17821466,7150.9817
255,25,0.5,0.38,0.63,0.5,94.6,79,16,0.570329618,0.472979714,38.23520379,6673.304
256,37.5,0.75,0.25,0.25,0.25,94.6,79,34,0.363726236,0.381184884,29.80324762,3662.18313
